bpuic;y_Coord_Est;x_Coord_Nord
8531142;650626;142124
8589726;665208;209140
8579308;505337;137648
8530119;592601;116024
8530131;601822;119321
8530135;606246;123375
8530245;649094;140082
8530941;641051;160058
8531138;651076;140471
8530277;601414;143411
8530199;629174;118467
8531110;551829;114791
8530347;662562;176602
8530943;647627;137507
8509612;756354;230889
8531262;603148;131440
8509371;795537;146465
8530014;588497;168682
8507350;646194;163940
8501646;653681;139544
8530233;645234;129329
8530129;602965;107781
8531391;593468;110780
8530107;583230;113314
8530608;814652;187666
8530589;764968;162846
8531123;735851;192433
8530491;729276;223494
8531051;689457;166380
8531043;645040;136151
8530242;645325;137367
8501583;645867;134490
8531201;586030;144991
8530232;640590;104372
8530679;588377;150402
8530145;612757;110339
8531351;605482;133792
8530128;596808;103276
8531104;794675;143061
8530042;570440;128100
8531394;594578;114010
8508366;673322;182974
8508367;652775;182240
8500001;596969;129846
8501695;635364;103796
8530958;633322;117294
8531031;633228;156343
8530353;645427;185671
8530802;648340;137982
8530825;641444;138630
8530137;607023;119784
8530365;665020;181088
8501953;641237;135732
8501373;577500;144100
8531040;649248;138599
8594173;636502;244051
8530375;675985;191671
8501955;648429;136164
8530117;593017;111235
8570161;514761;169185
8530400;697803;204471
8531067;703894;173700
8531033;634434;157827
8500097;619454;248851
8531028;660952;179294
8531019;675496;181088
8531105;794675;143061
8530377;675234;191479
8530371;672459;182669
8530780;736821;191644
8500252;605276;233439
8530315;604363;144668
8531266;636616;102464
8530305;614108;152377
8531082;608233;149716
8530374;674906;192942
8530757;604286;143640
8530124;595977;114307
8531178;573014;130586
8531197;586830;147844
8531147;638569;162576
8530127;597272;103669
8507456;632140;156813
8530280;592224;149646
8530674;576606;147068
8531446;792171;164109
8531448;792808;163836
8530151;596628;127095
8530228;642536;109986
8531359;602931;116491
8531449;791960;164143
8501643;614369;136930
8507370;644449;163879
8530045;570976;130646
8530053;571384;131192
8530283;588829;150262
8501645;627929;128047
8507392;643144;163701
8501647;637702;105770
8501720;634424;119854
8530047;572686;129975
8530229;639677;109245
8531077;599389;145228
8530293;584903;144691
8530285;586547;151110
8530134;606759;122821
8582528;663133;272527
8507391;641400;163465
8530346;660985;177876
8530372;672401;181266
8531081;609129;149083
8508364;654274;181794
8530172;604459;131304
8530226;636965;107162
8531112;552234;114531
8531433;665225;181075
8531358;603133;117745
8531478;629901;124477
8531421;583598;108727
8530140;609241;114351
8572045;571821;252089
8507258;608168;167662
8507455;634710;156371
8530052;572373;131005
8531395;595755;113811
8530190;625740;126153
8507371;638622;162324
8530354;644920;184354
8531021;674960;182073
8530343;657596;175514
8531360;604028;117236
8530163;603123;129053
8530309;609351;148515
8530146;612784;121846
8530313;609720;144237
8530170;605028;131358
8509375;796417;146019
8509372;794252;143245
8530274;598117;143993
8501444;633073;117314
8501979;601132;124319
8531073;647010;169433
8531442;645561;184270
8530344;658882;176048
8530253;655957;143597
8531015;638962;159613
8531282;597072;129579
8530267;595220;150705
8531050;688568;165823
8531023;673899;182536
8579449;574101;88650
8507352;646937;166350
8530056;554661;128407
8504378;574073;210973
8531084;782807;191410
8576127;692190;248845
8587505;692219;187050
8577385;692324;186840
8587506;692449;186580
8505122;690461;175766
8505098;689087;206053
8573149;689333;225202
8577443;687459;206198
8591432;687500;245575
8582165;736439;268998
8577427;687618;209530
8503778;661873;260125
8577543;687619;225655
8591399;687637;245464
8587322;672259;261180
8582052;688342;281207
8577545;688344;225225
8577438;688478;205640
8577425;688586;209237
8508470;688737;205356
8505099;688759;205463
8577444;686675;206139
8591107;686723;245909
8591396;686728;248708
8572956;686824;202196
8505087;686895;209900
8573230;686949;259075
8502288;685779;226340
8591212;685816;244761
8580440;566173;114931
8591403;685309;251186
8570878;593698;117682
8591148;685326;250961
8572953;685343;201455
8502293;685355;225672
8577540;685414;226320
8591133;685443;245016
8591238;684751;248757
8591225;684803;252206
8591040;684826;245546
8591172;684288;252110
8591175;684319;251699
8591192;684324;248242
8577398;684358;211529
8591078;684376;248387
8591377;684383;248981
8591336;683977;249363
8575704;697240;151976
8591171;684001;249003
8591376;684089;248510
8530654;684093;267369
8589855;669864;211522
8508361;669469;200020
8587788;669439;225290
8576496;669403;244241
8589663;669399;215423
8576498;669397;244012
8572600;669018;244156
8572925;668996;202402
8595991;623499;199748
8508762;668971;157121
8577161;668643;215204
8508478;668637;206731
8502563;668623;236957
8508477;668615;208049
8503651;683251;246714
8557136;562449;185761
8591191;683006;252700
8591103;683024;252965
8573182;683028;232809
8591352;682862;246027
8591291;682867;249190
8530683;682899;210500
8591387;682778;245475
8591241;682779;245037
8590305;667358;257837
8581670;667300;235970
8593590;561435;205320
8503581;666720;264280
8590236;666691;259427
8590309;666669;257784
8588417;666511;208519
8579360;666500;150950
8590230;666496;259284
8503588;667588;260003
8577414;682279;216010
8590767;682293;256047
8591392;682295;244941
8595713;682092;255908
8591280;682095;252029
8590768;682099;257326
8591365;681864;245801
8591154;681664;243259
8579937;681694;269600
8591302;681456;250430
8591182;680957;245606
8573529;700882;249813
8591243;680239;247532
8572551;664322;255742
8502774;664321;254252
8577269;664312;213690
8591150;680359;246130
8591351;680376;246537
8591090;680383;253139
8591334;680394;248960
8591208;680413;247520
8589777;669683;211835
8590316;669709;255001
8594309;669769;255280
8508760;669794;176682
8590317;669840;254962
8594306;670052;255443
8502573;670057;232340
8590314;670069;255307
8578679;670312;255439
8530373;671180;180888
8571606;672169;176494
8557124;672177;219769
8508479;667795;210495
8572901;666850;199013
8572898;662595;194380
8577257;661701;219873
8589835;665257;210745
8589844;665284;212499
8572519;661021;254790
8582732;660577;244888
8583074;659927;247088
8572517;659922;256632
8572486;659576;261148
8577268;658405;229008
8502086;649683;229417
8590260;647823;249937
8589189;645166;248490
8508675;655430;208414
8572830;655417;208803
8578737;654934;249074
8572733;639676;230953
8530325;639878;160995
8576389;639889;173013
8530324;639962;161631
8530327;640047;159639
8500964;635903;256833
8590281;648584;246948
8572746;755823;190222
8506599;755787;256888
8589238;637772;249062
8502579;637940;228715
8502389;638193;229521
8572711;634087;229386
8571075;634127;127004
8571093;633259;128424
8571078;633269;128099
8583664;633282;127762
8571090;633320;128260
8571052;631625;125168
8578288;628433;248894
8578330;618974;250260
8578331;619070;249820
8576914;619739;228672
8576954;620566;224129
8576952;620697;224751
8500799;621086;256675
8576951;621204;224570
8579546;621280;126910
8500567;650369;254441
8576550;617432;179153
8576368;616514;157857
8596103;616520;159370
8589470;616550;270308
8589468;615985;269653
8576868;615171;177843
8507163;615208;177323
8576892;615318;235148
8507150;614722;178120
8572849;647449;208950
8578896;646915;134221
8502893;646900;253850
8531319;646624;182038
8572394;646267;259042
8508355;646255;181961
8530808;646254;136831
8530690;646252;135263
8500977;646248;256299
8508682;646023;185320
8587024;645752;174920
8501698;645745;136464
8572436;645708;264904
8507850;611800;152750
8588173;611803;176710
8570956;611838;119082
8570955;611894;118857
8505689;611902;115666
8531189;611905;110670
8501779;611915;119135
8580641;611947;119328
8576836;611975;176916
8581788;610824;179991
8530139;610413;113869
8570949;610446;113848
8501738;610471;109667
8589981;609547;262568
8582186;609558;180398
8594162;609583;262910
8582187;609637;180026
8505706;644522;130131
8587700;644503;132151
8588509;644499;221513
8582448;644438;131774
8579341;644412;131742
8587703;644408;131842
8505727;644405;129452
8531044;644388;136096
8588510;644380;222462
8531443;644373;183301
8572652;644371;239691
8505701;644353;120026
8530141;608629;113672
8591488;723403;77131
8588714;608644;263267
8571505;608735;219985
8508647;644184;190804
8587702;644151;131960
8505691;608750;124321
8531187;608767;115336
8588713;608772;262064
8581803;608784;180336
8571188;643500;128905
8578434;643500;130750
8578575;643461;130681
8578886;643025;129350
8578889;643006;129648
8574567;761628;204310
8574702;761553;196194
8518661;601978;204656
8588997;602157;198203
8590049;602158;200162
8574141;761062;252752
8571468;598120;215239
8595605;602205;204435
8587483;601201;200313
8589046;601204;204727
8590027;600037;200300
8570809;600042;126606
8574656;825293;166561
8590064;600046;201131
8580941;600077;200592
8593304;599649;200465
8590030;599671;201059
8589995;599678;197496
8590054;598975;198350
8590098;597980;196777
8571415;598112;196578
8590118;598149;197278
8571376;595766;206069
8571881;535031;202609
8507694;535710;186724
8504274;533117;188457
8592951;498568;121572
8592945;498634;120772
8588361;622838;197885
8508968;614568;211625
8571496;602099;219412
8572161;602091;257349
8570793;597834;127032
8570874;592124;114988
8504199;584982;195403
8593329;584967;221019
8501584;584965;112558
8583207;722040;115556
8580859;739758;187258
8572164;604525;259399
8508072;604495;207664
8576460;604467;202666
8593847;541342;151058
8581334;638603;107909
8502359;638577;236046
8504631;577883;181676
8587776;604750;195864
8572748;638495;265758
8502358;638466;236539
8505735;638448;108861
8594480;638401;237660
8582190;615047;180308
8588296;614940;132475
8587825;614888;208673
8594507;614841;136200
8594506;614834;136678
8574575;749439;197713
8589610;749251;256963
8509977;748823;197420
8509952;733412;164555
8593392;665559;224520
8505957;733068;125037
8595524;727874;195615
8583461;714763;108312
8509771;728224;220225
8575331;714563;102018
8575284;714515;92693
8583478;714432;91987
8580246;730459;278648
8587653;689452;250554
8500706;556323;116206
8503011;681934;247303
8500244;636791;245423
8592985;497689;115231
8591222;679758;248817
8504194;584714;194630
8508003;608114;210953
8509063;774786;199364
8502101;644425;243103
8508205;621847;196543
8502164;653426;236852
8506311;755752;260632
8506307;752562;262237
8507493;631582;170238
8506200;724619;240041
8580522;681824;249450
8579238;539205;153810
8502159;582626;199765
8589395;613597;267100
8577433;690984;207223
8509182;751953;188316
8509193;766987;170725
8505024;584738;242718
8506026;704720;281750
8509073;781849;185016
8506317;765165;253367
8509186;751301;181541
8501375;559384;143980
8509075;780293;182203
8506133;723693;281228
8503226;723205;220316
8505165;688409;165722
8503097;683619;237919
8505212;723652;120575
8503130;705958;239742
8503128;689434;250591
8590077;595164;199463
8503072;693254;241006
8517336;668277;211823
8516154;595132;199200
8502114;651956;250501
8502160;649869;245856
8519339;566271;122250
8500210;616479;231248
8508081;613652;211266
8508005;613907;212201
8500114;606929;253670
8508162;629054;232117
8504188;575700;201500
8506774;736794;246135
8504391;545846;212201
8504240;562011;205318
8506137;710856;278098
8506115;708125;268042
8505141;688402;164024
8501463;562127;122638
8503043;672337;251729
8509257;791549;162586
8501229;562009;123320
8519341;562012;123262
8500162;575313;230218
8501099;521300;163406
8501437;562298;123848
8501169;536180;159570
8504286;536900;195974
8591393;684026;250716
8519483;687303;250235
8504289;533313;195731
8501852;509274;146896
8592812;499945;118161
8501154;509785;165210
8501394;576404;147085
8501303;560649;138685
8500128;568194;260293
8587057;499968;118415
8504063;560772;158137
8592887;500016;116765
8504481;567450;206539
8587387;500006;117858
8519460;499944;118378
8500173;567162;228924
8519455;499948;118252
8504086;570617;163065
8504126;569686;192686
8504025;566516;177651
8504482;570938;206550
8504125;567425;190910
8519464;499910;117115
8592905;499911;119669
8504223;568440;209808
8504100;578046;183608
8501579;582706;103066
8501507;598529;122228
8504416;587828;219195
8504186;575438;195584
8500127;571100;256191
8501575;572420;103066
8504414;589950;213931
8500204;601365;227742
8500123;582668;242729
8507077;602570;195302
8508253;612781;182205
8508083;612883;212720
8507005;608133;194233
8500084;625087;253010
8508088;609595;224316
8500285;611967;232039
8507475;617859;149383
8508275;623651;212389
8503129;687036;251961
8502227;678793;227592
8502202;675234;221672
8502169;656836;232494
8502223;676184;239144
8503316;675978;260401
8503506;669070;254017
8502215;668184;236587
8505176;701839;170845
8503133;707706;246204
8503124;700288;243635
8506010;717756;257973
8503110;704368;231355
8503239;718739;198343
8503300;703250;243250
8506205;723046;252313
8505207;712928;137599
8506195;730038;274793
8505304;719535;84645
8501642;650481;124757
8503059;683805;246760
8503001;679297;249492
8515388;617712;263995
8519360;600084;199598
8515177;684597;239282
8504108;597525;199235
8505111;689987;200474
8506300;740553;252013
8501462;562024;124425
8500072;608788;261760
8505067;678865;211212
8507558;633808;167274
8516854;617812;153179
8506036;698909;265151
8588989;600322;199671
8503054;679809;246553
8515629;613949;178788
8507382;641096;165103
8503026;680602;249104
8501610;643767;130511
8515357;610344;212104
8503209;701485;228871
8506213;735847;261714
8503402;681104;269631
8591257;682530;248771
8508340;654669;180366
8508323;661755;194660
8504065;565634;163205
8589991;599801;199186
8500029;634742;251957
8501495;570533;127278
8571395;601067;197437
8508261;614348;197059
8508384;672924;197859
8503070;695546;238712
8500326;654674;271646
8588774;611511;268120
8501497;571564;128238
8501401;564024;125371
8500038;613619;265779
8502572;681215;247162
8500237;611564;266998
8502013;636162;240407
8591448;681194;247873
8579986;808523;123855
8583806;808459;184284
8506319;759936;249202
8589316;612392;268229
8506239;735970;253704
8530789;714270;96720
8591439;682491;243638
8503467;674799;279900
8530713;554647;200215
8530812;684756;246255
8509000;759396;191228
8590620;684551;253911
8515628;614366;178384
8508163;630088;231280
8501461;565670;127367
8509001;761494;200084
8591190;680645;247056
8500111;600027;249709
8519410;603568;198516
8515406;632805;171112
8509365;805080;128111
8519495;680800;245179
8580193;777435;198632
8595624;601396;146113
8593316;584761;220896
8531034;634553;157320
8572753;636511;217839
8587847;611315;229499
8592898;500564;116519
8592902;500558;119591
8579649;512910;143701
8595956;512826;121753
8592966;512656;121793
8581672;512540;143393
8579908;521769;175970
8570235;528830;174274
8503656;609143;216063
8504478;562472;124264
8573048;661235;208635
8582730;661226;244120
8595622;600494;145774
8592078;536709;153480
8592152;542263;151785
8592117;544024;157996
8507690;544011;177461
8500258;601057;199499
8500354;613791;120777
8500276;646646;137843
8502745;646757;203386
8509614;757239;224128
8500270;660075;178352
8584840;578319;132991
8502625;722047;124521
8500338;578284;170642
8577714;553386;153327
8588242;553703;199692
8504772;560275;171825
8593577;560540;205580
8504998;560525;176159
8501234;560830;140298
8504999;562470;185487
8588620;562900;205520
8594992;563540;163586
8582430;564309;134213
8504247;783637;207452
8574419;758781;220481
8581822;757679;231180
8583251;756702;231541
8572013;588977;244935
8502612;747424;254529
8508715;599380;216956
8584826;773489;187993
8502909;610365;194014
8503334;610078;192989
8505025;584724;243043
8500282;782562;191370
8502064;607878;228028
8500351;728432;179063
8504426;562746;127721
8504425;562251;127697
8501027;496906;119290
8501009;498625;115478
8503310;684511;253938
8504401;582310;205367
8576798;607396;178140
8530431;688641;163667
8507259;607932;170285
8576806;608452;176749
8578188;614382;264366
8500462;614992;222919
8575077;772499;201212
8530598;779388;145024
8503288;697475;227963
8530430;560010;120172
8592737;504956;122296
8500736;514481;147709
8579222;514860;147687
8593532;515028;168515
8570121;516214;153669
8571035;633800;120010
8571038;634175;119725
8570617;559740;129449
8509354;794437;146859
8576907;774243;203549
8572025;583973;245905
8570715;589794;121134
8570723;589814;122808
8530281;590689;150940
8507992;598962;199856
8508782;598902;215200
8589999;598975;196675
8500174;563512;230417
8504136;564808;185376
8577297;649455;216633
8508683;649398;185448
8504480;565483;206884
8594316;645317;163888
8594329;645340;163657
8509156;772864;185471
8505205;707668;144244
8516022;634572;240099
8519558;611284;267063
8501402;566225;122320
8506305;752890;260090
8506210;736925;252807
8509155;773091;187855
8590146;646584;248687
8507354;647085;167810
8501663;666792;150781
8503312;680813;258266
8508295;642374;219214
8505000;666222;211383
8503403;680811;270615
8503200;683861;242098
8508294;640351;221161
8503116;716784;231518
8503423;689072;282062
8506044;695755;260669
8506204;723230;249392
8503292;695401;220838
8506009;706866;250229
8503404;683078;273152
8502204;681619;225300
8505119;688019;168931
8503285;696325;225829
8507351;647959;167664
8590258;648043;250143
8508061;606343;215052
8508297;645736;214888
8593141;497519;119428
8504135;563266;186525
8501400;563416;129606
8504300;585152;220230
8507494;628786;167683
8500302;629744;267979
8501041;498287;117566
8500101;584007;231611
8587418;497663;116048
8500126;572945;252295
8500171;573100;230428
8507292;596294;164015
8500209;613656;229714
8504075;572904;157186
8592988;498338;114795
8519474;498347;114750
8576935;631263;225817
8519469;499882;118306
8516281;498595;116230
8592831;499888;118172
8516283;500154;119826
8592922;498648;119026
8501038;500131;119286
8516174;498643;114768
8501011;500418;122880
8501010;500120;119086
8500195;574391;237169
8589836;664879;212039
8592829;501766;117384
8593118;504879;116414
8501064;506564;146196
8589846;666765;210521
8589826;667770;212366
8589811;667782;209725
8594305;669329;255390
8580843;663202;244135
8580305;663196;243658
8580285;663190;244814
8577142;672659;220760
8571607;672765;176954
8580003;672853;195652
8573069;672888;215196
8583380;672897;220052
8530681;673007;197854
8572921;673866;194162
8501032;512996;144376
8501095;518389;156218
8501215;532935;152962
8515301;532896;155064
8501194;531412;174811
8515337;529846;153021
8515355;533530;154756
8506396;742982;264716
8504211;526916;195362
8515322;531193;153666
8515319;531685;165528
8501142;532295;154574
8501054;526762;151028
8515341;531644;153848
8515340;531446;153673
8518925;681650;248592
8589327;610948;266888
8580643;568127;102446
8588765;613018;260267
8572485;659316;260899
8503127;692122;248888
8572536;657438;272710
8581371;657410;174881
8581908;657403;174684
8573008;657388;218643
8581079;656828;233048
8507076;604573;193087
8504293;534434;183046
8587727;536350;160440
8501212;534033;152995
8501572;571502;104707
8501217;533358;153860
8504635;578206;178733
8592017;538837;153101
8501207;536689;152614
8504000;540089;151785
8501161;536670;153561
8515338;538282;151750
8578719;654344;241411
8572444;653853;267832
8519405;600716;199524
8587728;648422;209115
8519317;616426;271600
8500031;630098;255494
8579477;605594;126676
8507362;643305;159050
8579414;605115;125480
8519529;679590;250723
8503511;667316;255924
8519501;678739;251007
8591423;679483;250750
8590009;599150;199400
8508183;627069;224029
8505495;695497;113790
8591218;681744;247648
8519486;682555;246551
8509002;760967;203988
8591169;681657;248282
8591398;680933;249354
8582654;640415;245387
8587652;686979;251173
8504129;578271;200016
8518934;658213;188473
8588783;610882;266454
8519343;558525;153001
8515663;578245;184545
8530760;658098;174731
8591194;686995;250909
8519487;682580;246459
8515403;657899;249210
8519347;547374;212109
8500341;657218;259253
8500327;657020;273467
8501124;545370;148831
8500342;658006;258196
8501395;578272;146996
8591271;686984;250396
8572928;668325;203226
8501885;579198;79734
8500283;610152;231131
8518171;656190;241390
8501360;559950;142551
8500322;646862;267858
8500179;557888;219163
8530709;559956;203856
8504230;560274;204559
8583811;638860;265644
8506106;728807;267891
8504242;562485;205610
8500312;654757;258513
8501364;562050;142435
8530708;560804;204420
8508341;654762;177611
8501365;562857;142760
8500325;653083;270859
8504310;566827;222395
8591317;682821;246416
8591384;682812;246896
8501729;653232;138674
8581086;652188;225410
8500560;652152;267046
8502011;651233;222916
8518396;682842;247879
8530366;563243;125082
8519217;565514;221819
8504038;564326;185901
8501485;564851;129760
8589865;650438;211930
8502010;648203;225652
8591034;680774;245121
8500307;649904;258630
8500324;650081;269297
8515170;647606;259692
8504490;568971;206550
8516025;788525;191018
8578174;607952;266873
8501596;603896;129057
8507099;600085;196501
8591262;682981;247809
8591335;683054;249560
8591053;682962;251145
8591316;683064;247496
8501641;643264;130272
8501092;523878;153313
8515380;689123;205166
8515310;642016;129941
8504012;548335;149392
8515296;642188;129880
8515171;641921;264449
8508060;605542;214348
8504124;565432;189352
8500066;606300;259629
8590421;635978;243919
8594101;598689;228855
8502143;641165;245434
8501174;538770;165780
8519521;683108;247211
8507361;641046;158310
8503088;683111;247982
8579086;513163;151594
8515162;639976;265864
8502121;639657;241138
8515474;638855;265587
8507052;604522;198205
8500068;604563;259811
8501680;638842;128271
8519540;604541;259828
8508058;604714;208652
8571886;554178;218059
8594117;597000;226831
8515435;637946;237936
8515426;690003;200686
8519539;604534;259846
8507251;604104;197993
8507550;637805;160426
8519032;604297;228623
8507092;604151;193784
8508757;635734;201865
8581018;603874;158593
8530173;603871;135394
8589033;603862;203120
8577008;603858;199807
8570913;603856;99609
8502777;690715;225086
8572162;603810;258270
8589032;603806;203037
8581165;603803;107409
8570397;545207;173544
8571029;635683;123177
8530352;635659;187225
8570914;603800;98761
8581017;603751;158313
8577972;596286;227457
8570777;595879;123953
8593310;595861;192499
8590430;635625;243834
8515735;603465;194592
8501440;566192;119887
8571695;595428;181599
8571356;595420;201655
8589006;603258;198524
8519587;683277;248104
8588410;634884;200883
8572688;634870;239505
8500650;594982;245710
8583595;594961;236325
8500167;566955;229222
8570880;594717;117928
8571022;634540;126352
8507765;602921;184268
8507096;602933;202537
8507050;602906;198408
8530246;568478;122856
8500263;602756;231110
8504203;545434;189110
8501492;570789;124755
8501562;567720;107877
8572693;632916;238726
8572865;632910;186955
8582574;593419;223404
8591298;683344;248848
8587349;683305;247999
8507773;632562;142647
8507894;632551;170011
8519517;683333;250352
8507372;636957;161629
8571016;632049;142517
8506961;695296;259279
8583373;592929;119801
8570854;592928;117795
8504305;577723;226979
8507044;602550;201583
8570737;592758;121097
8581888;592756;245756
8570629;568285;132840
8582489;568264;208335
8571510;601946;215974
8507386;634974;167725
8504127;572266;195301
8516951;601815;196441
8519488;683361;248128
8588717;631141;213920
8519030;601687;201729
8593776;576181;133624
8595098;567740;132325
8504561;567692;200992
8519547;601580;258947
8579924;629801;115195
8519326;601436;203093
8519499;683369;247929
8591193;683381;250495
8577971;601379;227767
8589880;601372;229130
8519329;601419;202959
8530116;591887;109861
8570696;591860;119398
8581140;591852;246180
8570642;567537;124395
8570519;567527;196412
8570758;591165;126855
8583040;590961;213660
8577761;590845;160432
8570697;590842;119295
8588082;590827;193639
8583601;572928;106332
8577858;590820;186043
8591242;683857;249659
8503187;695749;234791
8571348;590813;203393
8581783;590811;214615
8579799;569403;192101
8583793;709679;228854
8571962;589923;235886
8593773;577140;133830
8573746;695764;284695
8501393;573750;146146
8588397;628053;200828
8500203;599223;227111
8507277;598695;149155
8591379;683382;248267
8501636;636805;127375
8591327;683423;247644
8591309;683400;247353
8500268;598766;236980
8500889;574142;230276
8501883;574121;84900
8507387;636182;166894
8519404;599567;198324
8507555;636389;162102
8507559;636335;160450
8516828;577650;253199
8500243;636214;246123
8500135;586033;232007
8591373;683444;248588
8500241;636012;246925
8519365;598546;198860
8504139;574632;185139
8502136;647395;249489
8504468;574765;206112
8576423;589127;218467
8581505;672977;199235
8590005;597947;199206
8507080;597749;199487
8507081;597982;198964
8508193;625191;231894
8576434;588803;215903
8571460;588801;201060
8594170;588772;221150
8576422;588767;218751
8504943;588722;178128
8582432;597495;120241
8570795;597488;127113
8504495;597149;199475
8507082;597627;199151
8580939;597539;199130
8515667;616107;158512
8519342;553901;154673
8577842;588309;179643
8583850;588287;231785
8583374;597133;122011
8582433;597126;119730
8501577;577560;100159
8501210;534868;152794
8591406;683509;250070
8507084;597147;195435
8580449;683482;251775
8571353;587832;205590
8592482;587829;218944
8515722;692095;275076
8591174;683511;248234
8579899;596834;199022
8590046;596169;199759
8579900;596522;198937
8507993;596685;199591
8571344;596559;199791
8595245;555407;200552
8501464;559664;119785
8579898;597112;199012
8530800;660215;173290
8571435;595724;199732
8506280;739011;248816
8500304;641501;264845
8501477;576562;133629
8507281;595745;158723
8507274;595910;154425
8519497;683520;246834
8519407;595773;199753
8594128;595664;226419
8519519;683554;251731
8515418;635439;243967
8519358;595197;199295
8500303;635456;266428
8507285;595368;157680
8508141;635404;240413
8507557;635570;162614
8501173;538280;165680
8504118;556090;187540
8581021;586473;209946
8576724;586437;221466
8593319;586429;219739
8504874;586420;185691
8517510;595168;155495
8582262;595154;199261
8591255;683568;249462
8588193;571396;125214
8519336;577372;102871
8500037;635173;246237
8504449;602079;203281
8519490;683589;251938
8588699;602075;201175
8507560;635060;159050
8504089;574770;161627
8507379;635163;157083
8508209;635260;194409
8519323;595102;155771
8591382;683593;251618
8571455;586220;199752
8504364;586186;218610
8500110;594874;248699
8508010;594700;154780
8503063;694200;240175
8515182;666274;211389
8501284;558488;147284
8504492;594624;199048
8531412;585999;104485
8580388;627551;267180
8500201;594537;225388
8518393;634422;170904
8504104;593783;194838
8501563;566991;106847
8500148;596010;231203
8590043;596983;199288
8503062;694606;239711
8507378;634654;160683
8581111;580820;232560
8515730;633603;129225
8501683;633336;120150
8591229;683634;249263
8515496;683664;252594
8519496;683626;246803
8501682;633645;121315
8504942;580806;177036
8507095;594184;190189
8587837;626753;128978
8500343;632696;268097
8519309;632923;171161
8519310;632921;171122
8515183;632925;171147
8505045;666200;210768
8591245;681472;245880
8576710;626463;192695
8588354;626463;198806
8577768;576849;176049
8507273;593375;153345
8591237;683091;249152
8503317;673326;261256
8504115;593387;193609
8591332;683769;251177
8501198;577194;147259
8591355;683739;252709
8593526;626240;228385
8576709;626235;193725
8504026;569143;177860
8508143;632325;239056
